	ReviewTitle	P(review|positive)	P(review|negative)	PredicResult	CorrectResult	Prediction is R or W
0	 The One With Barbie Doll	-384.2695018661212	-420.4207534699237	positive	positive	right
1	 The one with the Barbie	-133.53096597268228	-146.69560869067917	positive	positive	right
2	 The One with Frank Jr.	-0.32611877929285354	-1.2791255267052806	positive	positive	right
3	 The One with Frank Jr.	-0.32611877929285354	-1.2791255267052806	positive	positive	right
4	 A Much Improved Episode	-0.32611877929285354	-1.2791255267052806	positive	positive	right
5	 Episode of Monica	-501.80319056617066	-548.7294150851944	positive	positive	right
6	 The One Where Phoebe Meets Her Brother...	-0.32611877929285354	-1.2791255267052806	positive	positive	right
7	 The one with Isabella Rusolini	-180.54444145270207	-198.0190733367876	positive	positive	right
8	 The One With The Sex List	-1261.8543774931627	-1378.4587601972783	positive	positive	right
9	 Yes	-157.03770371269218	-172.3573410137334	positive	positive	right
10	 Funny episode and full of surprises.	-47.33959425931265	-52.602590172813684	positive	positive	right
11	 The One with the Flashback	-0.32611877929285354	-1.2791255267052806	positive	positive	right
12	 Great TV	-0.32611877929285354	-1.2791255267052806	positive	positive	right
13	 The One Where Everyone Almost Slept With Each Other...	-0.32611877929285354	-1.2791255267052806	positive	positive	right
14	 The One with the Flashback	-0.32611877929285354	-1.2791255267052806	positive	positive	right
15	 The One Where Joey Moves In	-1167.8274265331224	-1275.8118309050617	positive	positive	right
16	 Almost	-0.32611877929285354	-1.2791255267052806	positive	positive	right
17	 Flash	-149.2021244660222	-163.80343023938198	positive	positive	right
18	 Is that Tag?	-329.4204471394314	-360.543378049464	positive	positive	right
19	 The One with the Race Car Bed	-0.32611877929285354	-1.2791255267052806	positive	positive	right
20	 The One with the Race Car Bed	-0.32611877929285354	-1.2791255267052806	positive	positive	right
21	 Intro	-243.2290754260618	-266.45035953159885	positive	positive	right
22	 The One Where Joey Teaches A Class...	-0.32611877929285354	-1.2791255267052806	positive	positive	right
23	 The One With A Brand New Bed	-1026.787000093062	-1121.8414369667369	positive	positive	right
24	 Who is singing?	-360.7627641261113	-394.75902114686954	positive	positive	right
25	 Matt Le Blanc Is Brilliant Here	-0.32611877929285354	-1.2791255267052806	positive	positive	right
26	 Zoom	-133.53096597268228	-146.69560869067917	positive	positive	right
27	 The One Where Phoebe Doesn't Want To Go To The Dentist...	-0.32611877929285354	-1.2791255267052806	positive	positive	right
28	 The One with the Giant Poking Device	-0.32611877929285354	-1.2791255267052806	positive	positive	right
29	 Ouch	-86.51749049266247	-95.37214404457072	positive	positive	right
30	 The One With Ugly Madness	-877.9109944063316	-959.3171322540607	positive	positive	right
31	 Monica bang	-783.8840434462913	-856.6702029618441	positive	positive	right
32	 Monka bang?	-0.32611877929285354	-1.2791255267052806	positive	positive	right
33	 One Of The Best Episodes Ever	-0.32611877929285354	-1.2791255267052806	positive	positive	right
34	 The One with the Football	-0.32611877929285354	-1.2791255267052806	positive	positive	right
35	 The One with the Football	-0.32611877929285354	-1.2791255267052806	positive	positive	right
36	 The One With American Thanks Giving	-846.5686774196515	-925.1014891566551	positive	positive	right
37	 The one with the Geller cup	-486.1320320728307	-531.6215935364917	positive	positive	right
38	 What??	-141.36654521935225	-155.24951946503057	positive	positive	right
39	 The One Where Ross Sells Cookies	-392.10508111279114	-428.97466424427506	positive	positive	right
40	 The One Where Rachel Quits	-0.32611877929285354	-1.2791255267052806	positive	positive	right
41	 Bully	-164.87328295936214	-180.9112517880848	positive	positive	right
42	 Gunther	-204.05117919271197	-223.68080565984184	positive	positive	right
43	 My First Favorite	-321.58486789276145	-351.98946727511264	positive	positive	right
44	 The One Where Chandler Can't Remember Which Sister	-0.32611877929285354	-1.2791255267052806	positive	positive	right
45	 The One Where Chandler Can't Remember Which Sister	-0.32611877929285354	-1.2791255267052806	positive	positive	right
46	 Mary Angela	-329.4204471394314	-360.543378049464	positive	positive	right
47	 The One With Joey's Sisters	-290.2425509060816	-317.7738241777071	positive	positive	right
48	 Non	-86.51749049266247	-95.37214404457072	positive	positive	right
49	 The One with All the Jealousy	-0.32611877929285354	-1.2791255267052806	positive	positive	right
50	 The One with All the Jealousy	-0.32611877929285354	-1.2791255267052806	positive	positive	right
51	 The one with an empty vase	-658.514775499571	-719.807630572222	positive	positive	right
52	 The One Where Joey Speaks French	-305.9137093994215	-334.8816457264099	positive	positive	right
53	 Barbershop Quartet!	-0.32611877929285354	-1.2791255267052806	positive	positive	right
54	 Dancing	-133.53096597268228	-146.69560869067917	positive	positive	right
